idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-4.363284697845658,-5.442852199391168,-0.3950226393898228,0.9995363109443316,0.016981992857915927,0.011652256985026968,-0.02242765992084461
0,456,0.8651373697386087,1.7123970907922355,-0.04144614771343403,-0.5347604689536513,0.017259523820635704,0.006926991445498939,0.8447990095114162
645,189,-0.7543885161499881,4.342278563221758,-0.2510782394917822,0.7659967260758753,-0.0020742185799144525,0.0028886289147869518,0.6428346358756005
2,458,-5.94873423793265,-2.55033368041118,-0.23184366512730373,0.8899039091081614,-0.0046455495169602165,-0.0027004035230898215,-0.4561163878271763
189,270,-7.38461032323203,-1.9047467323829486,-0.15340072914439354,-0.04109065531849999,-0.0006759711937052548,0.004924236832865449,0.9991430593263686
646,189,-0.336204182828293,3.787519184691026,-0.1408331342921846,0.7555370428479556,0.0029032375188377765,0.001491406662349303,-0.6550977971285227
3,273,3.807421132286921,-9.667469661967734,0.07643622675359793,0.9606422410679459,0.02942042911030926,0.009162238544228275,0.2760742226499578
189,273,15.336322617047186,3.433936120793031,0.14452388047572506,0.6882848900041039,-0.00610922878322417,-0.022247017227923903,0.7250735533310904
273,458,0.7878918374964459,10.512888647769017,-0.2651688721498249,0.9970816359609462,-0.006811522934210325,-0.00951181809234698,0.07544096832184702
647,635,-6.738474652059919,-1.5687292604925833,-0.31187712534564155,0.99881468329685,-0.03972400485284225,-0.012626619729395508,-0.025135638907213938
179,192,4.437052493741609,2.45634402100199,-0.3328363299416733,0.9080530958903061,-0.05766044013382042,0.053887241190110874,0.4113526636895928
191,635,-7.177531076869617,0.9266406727113546,0.3882736706585705,0.9279214374534315,-0.013014451774862714,0.03167230240493544,-0.3711998049834181
459,635,-5.238472077166083,4.8029578927761545,-0.007242231381618556,0.8444727843253375,-0.02942239233287275,0.003727591030605203,-0.5347767239029118
648,461,2.8796386646067544,8.203631741542868,0.47639241724478754,-0.508810693887864,-0.008564986137537839,-0.024184898116774062,0.8604960252673428
191,274,-10.141951074061447,1.9428284023645443,0.4362745687348674,0.886296202201689,-0.011917495643214218,0.02757392082164416,-0.46214358607577627
649,178,21.630389036754273,-2.619078063145236,31.981814394146525,0.08548800783809579,0.3371493316767538,0.9308436591985467,0.11203664934141802
6,178,-3.6683985879658265,0.8230062217085208,-0.5076482797173296,0.9956404343685445,0.014749768514000162,-0.03447563699139433,-0.08540491925666267
7,178,0.8827013817598692,3.490772212109522,1.0140999805597557,0.47814188307873984,-0.529066804329672,0.6108572126105382,-0.34397982790272597
177,274,-16.45168035408303,-4.752545079159872,0.553418568688518,0.22526845539093218,0.007280513605070948,0.01767659945145869,0.9741091596732179
192,446,-2.872321723673685,-0.5677747083945777,0.1534278447159199,0.5717700248661611,-0.0670128741365707,-0.028527344198689065,0.8171747083687032
275,462,0.7308467964765832,3.7598475978356767,0.32435259648995923,0.847304572331078,0.02502659060163949,-0.020519770348709263,0.5301203358620977
650,177,-2.825554817381701,-0.8358899848006995,-0.11849496060330952,0.43940211593024847,-0.010223912687648214,-0.017042175783685845,0.8980706076751057
8,193,1.8821754778850184,18.87352839987706,-1.2192878293587734,-0.6315070671197388,0.01358133615280746,0.008446043450729383,0.775205157255909
177,463,-9.582795067189167,-4.738618091875249,-0.2619353953028778,0.6930961249347214,0.07230597505882376,-0.023771048763445806,0.7168155584332359
275,633,3.4548076901087685,4.540073978429953,-0.08750983559027531,0.7877918176282365,-0.01363009511282073,0.03826215756169168,-0.6146009110666361
651,9,10.015045026654517,-5.005548796963021,0.15774643369414296,0.99752616040208,0.005259093154576525,0.007995321067477208,-0.06964176974850154
9,176,-3.5872907051550222,-3.9038629183941627,-0.08528868221012181,0.28804149933353995,-0.03487361131315588,-0.09623206045145273,0.9521319847778107
176,276,8.524624816162673,-2.3749290569449104,-0.05554129641581243,0.9988291955020322,0.03906244416974642,-0.0041225085747172005,0.028237715759246957
